%s already exist,%s Telah ada
%s already exists,%s telah ada
-- Please Select --,Silakan pilih
Delete Store View,Hapus Tampilan toko
Delete Website,Haspus situs
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Menghapus% 1 $ s tidak akan menghapus informasi yang terkait dengan% 1 $ s (kategori misalnya, produk, dll), tetapi% 1 $ s tidak akan dapat dipulihkan. Disarankan agar Anda membuat cadangan database sebelum menghapus% 1 $ s."
Design,Desain
Design Change,Perubahan desain
Developer,Pengembang
Developer Client Restrictions,Pembatasan Pengembang klien
Disable email communications,Menonaktifkan komunikasi email
Disable modules output,Menonaktifkan output modul
Duplicate Of Template Code,Duplikasi dari kerangka kode
Edit Design Change,Sunting perubahan desain
Edit Store,Sunting toko
Edit Store View,Sunting tampilan toko
Edit Website,Sunting situs
Empty identifier field name,Nama b idang pengenal kosong
Empty main table name,Nama meja utama kosong
Enable Charts,Aktifkan Diagram
Enable Prototype Deprecation Log,Aktifkan Log depresiasi Prototipe
Enabled,Aktifkan
Enabled for Admin,Aktifkan untuk Admin
Enabled for Frontend,Aktifkan untuk antar muka
Environment Update Time,Perbaruan waktu lingkungan
"Error in file: ""%s"" - %s","Galat pada berkas: ""%s"" - %s"
Error while saving. Please try again later.,Galat pada saat menyimpan. Silakan coba lagi nanti
Error: Passwords do not match,Galat: Kata santi tidak sesuai
Exceptions Log File Name,Pengecualian log Berkas nama
Favicon Icon,Ikon Favicon 
File %s does not exist,Berkas% s tidak ada
File %s is not readable,Berkas% s tidak dapat dibaca
File system,Sistem berkas
First Day of Week,Hari pertama dari sepekan
Footer,catatan kaki
Forgot Password Email Sender,Lupa Kata sandi Pengirim Email
Forgot Password Email Template,Lupa kata sandi kerangka email
General,Umum
General Settings,Pengaturan umum
General contact,Kontak umum
Global,Umum
HTML Head,Kepala HTML
Header,Judul standar
Host,Host
How many links to display at once.,Berapa banyak link untuk menampilkan sekaligus.
ID Path for Specified Store,Jalur ID untuk toko yang di tentukan
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Jika posisi bingkai saat ini tidak mencakup halaman maksimal, akan membuat link ke posisi saat ini ditambah / dikurangi nilai ini."
Incorrect credit card expiration date.,Tanggal kadaluarsa kartu kredit tidak benar
"Input type ""%value%"" not found in the input types list.","Masukan tipe""%Nilai%"" tidak ditemukan dalam daftar jenis masukan."
Invalid base url type,Tipe url dasar tidak valid
Invalid block name to set child %s: %s,Nama blok tidak valid untuk mengatur seorang anak %s: %s
Invalid block type: %s,Tipe blok tidak valid: %s
Invalid block: %s,blok tidak valid: %s
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argumen perbaruan tampilan tidak valid, diharapkan Mage_Core_Model_Layout_Element"
Invalid layout update handle,Penanganan perbaruan tampilan tidak valid
"Invalid messages storage ""%s"" for layout messages initialization","Penyimpanan pesan tidak valid ""% s"" untuk inisialisasi tata letak pesan"
Invalid transactional email code: ,Kode email transaksi tidak valid:
Invalid websites configuration path: %s,Jalur konfigurasi situs tidak valid: %s
Layout,Tampilan
Layouts,Tampilan
Leave empty for access from any location,Biarkan kosong untuk akses dari setiap lokasi
Locale,lokal
Locale options,Pilihan lokal
Log Settings,Pengaturan log
Logging from Mage::log(). File is located in {{base_dir}}/var/log,Masuk dari Mage::log(). Berkas di lokasikan di  {{base_dir}}/var/log
Logging from Mage::logException(). File is located in {{base_dir}}/var/log,Masuk dari Mage::logException(). Berkas di lokasikan di {{base_dir}}/var/log
Logo Image Alt,Alternatif gambar logo
Logo Image Src,Src gambar logo
Manage Stores,Kelola toko
Match expressions in the same order as displayed in the configuration.,Ekspresi pencocokan dalam urutan yang sama seperti yang ditampilkan dalam konfigurasi.
Maximum length exceeded.,Panjang maksimum terlampaui.
Media Storage,Media Penyimpanan
Merge CSS Files,Gabungkan berkas CSS
Merge JavaScript Files,Gabungkan berkas Javascript
Miscellaneous HTML,Berbagai HTML
Miscellaneous scripts,Berbagasi Script
Model class does not exist: %s,Kelas model tidak ada:% s
Model collection resource name is not defined,Model koleksi nama sumber daya tidak didefinisikan
"Module ""%1$s"" can not be depended from ""%2$s""","Modul ""% 1 $ s"" tidak dapat bergantung dari ""% 2 $ s"""
"Module ""%1$s"" requires module ""%2$s""","Modul ""% 1 $ s"" membutuhkan modul ""% 2 $ s"""
Name,Nama
New Design Change,Perubahan desain baru
New Store,Toko baru
New Store View,Tampilan toko baru
New Website,Situs baru
No,Tidak
Package,Paket
Pagination,pemberian nomor halaman
Pagination Frame,Rangka pemberian nomor halaman
Pagination Frame Skip,Lewati rangka pemberian nomor halaman
Parent directory does not exist: %s,Direktori induk tidak ada:% s
"Path ""%value%"" is not available and cannot be used.","Jalur ""% nilai%"" tidak tersedia dan tidak dapat digunakan."
"Path ""%value%"" is protected and cannot be used.","Jalur ""%nilai%"" di lindungi dan tidak bisa di gunakan."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Jalur ""%nilai%"" Mungkin tidak termasuk travesal direktori induk(""../"", ""..\\)."""
Please choose to register or to checkout as a guest,Silahkan memilih untuk mendaftar atau Keluar sebagai tamu
Please define flag code.,Silakan tentukan kode bendera
Please enter 6 or more characters.,silkan masukan 6 atau lebih karakter
Please enter 6 or more characters. Leading or trailing spaces will be ignored.,Masukan 6 atau lebih karakter. Di depan atau spasi akan diabaikan.
Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.,Masukkan 7 atau lebih karakter. Kata sandi seharusnya mengandung karakter angka dan abjad.
Please enter a number 0 or greater in this field.,Silakan masukan angka 0 atau lebih besar di bidang ini.
Please enter a number greater than 0 in this field.,Silakan masukan angka lebih besar dari 0 di bidang ini.
Please enter a number lower than 100.,Masukan angka yang lebih rendah dari 100.
Please enter a valid $ amount. For example $100.00.,"Silahkan masukan jumlah $ yang valid. Misalnya $ 100,00."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Harap masukkan Kunci URL yang valid. Misalnya ""contoh-halaman"", ""contoh-halaman.html"" atau ""tingkat lain / contoh-halaman"".
"
Please enter a valid URL. For example http://www.example.com or www.example.com,Harap masukkan URL yang valid. Sebagai contoh http://www.example.com atau www.example.com
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Harap masukkan URL yang valid. Protokol diperlukan (http://, https:// atau ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Harap masukkan valid XML-pengenal. Misalnya sesuatu _1, block5, id-4."
Please enter a valid credit card number.,Silakan masukkan nomor kartu kredit yang valid.
Please enter a valid credit card verification number.,Silakan masukkan nomor verifikasi kartu kredit yang valid.
Please enter a valid date between %s and %s,Harap masukkan tanggal yang valid antara% s dan% s
Please enter a valid date equal to or greater than %s,Harap masukkan tanggal yang valid sama atau lebih besar dari% s
Please enter a valid date less than or equal to %s,Harap masukkan tanggal yang valid kurang dari atau sama dengan% s
Please enter a valid date.,Silkan masukan tanggal yang berlaku
Please enter a valid day (1-%d).,Silakan masukan hari yang berlaku (1-%d).
Please enter a valid email address. For example johndoe@domain.com.,Silakan masukan alamat Email yang berlaku. Untuk contoh johndoe@domain.com.
Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.,Silakan masukan nomor FAX yang berlaku. Sebagai contoh: (123) 456-7890 or 123-456-7890.
Please enter a valid full date,Silakan masukan tanggal yang lengkap
Please enter a valid month (1-12).,Silakan masukan bulan yang lengkap (1-12).
Please enter a valid number in this field.,Silkan masukan nomor yang berlaku pada bidang ini
Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.,Masukan nomor telepon yang berlaku. misalnya (123) 456-7890 or 123-456-7890.
Please enter a valid social security number. For example 123-45-6789.,Silakan masukan nomor jaminan sosial yang berlaku. misalnya 123-45-6789.
Please enter a valid year (1900-%d).,Masukkan tahun yang berlaku (1900 -% d).
Please enter a valid zip code.,Silakan masukan kode pos yang berlaku
Please enter a valid zip code. For example 90602 or 90602-1234.,Masukan kode pos yang berlaku. Misalnya 90602 atau 90602-1234.
Please enter issue number or start date for switch/solo card type.,Silakan masukkan nomor penerbitan atau tanggal mulai untuk beralih / jenis kartu tunggal
Please enter valid password.,Silakan masukan kata sandi yang berlaku
Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.,"Silahkan masukan CSS-panjang yang berlaku. Misalnya 100px atau 77pt atau 20em atau 0,5 atau 50% ex."
Please make sure your passwords match.,Pastikan kata sandi Anda sesuai.
Please select State/Province.,Silakan Pilih Negara/Provinsi.
Please select an option.,Silakan pilih Opsi
Please select one of the above options.,Silakan pilih salah satu dari pilihan diatas
Please select one of the options.,Silakan pilih salah satu dari pilihan
Please set available and/or protected paths list(s) before validation.,Silakan set daftar yang tersedia dan / atau dilindungi path (s) sebelum validasi.
"Please specify either a category or a product, or both.","Silakan tentukan baik kategori atau produk, atau keduanya."
Please specify payment method.,Silakan tentukan metode pembayaran
Please specify shipping method.,Silakan tentukan metode pengiriman
Please use letters only (a-z or A-Z) in this field.,Silakan gunakan hanya huruf (a-z atau A-Z) di bidang ini.
Please use letters only (a-z) in this field.,Silakan gunakan hanya huruf (a-z) di bidang ini.
Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.,Silakan menggunakan nomor hanya dalam bidang ini. Harap menghindari spasi atau karakter lain seperti titik atau koma.
Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.,"Silakan gunakan hanya huruf (a-z atau A-Z) atau angka (0-9) hanya dalam bidang ini. Tidak ada spasi atau karakter lain yang diperbolehkan.
"
Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.,Silakan gunakan hanya huruf (a-z atau A-Z ) atau angka (0-9) atau ruang dan # hanya di bidang ini.
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","Silakan gunakan hanya huruf (a-z atau A-Z), angka (0-9) atau garis bawah (_) di bidang ini, karakter pertama harus huruf."
Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.,"Silakan gunakan hanya huruf (a-z) atau angka (0-9) hanya dalam bidang ini. Tidak ada spasi atau karakter lain yang diperbolehkan.
"
Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.,Silakan gunakan hanya huruf (a-z) atau angka (0-9) atau ruang dan # hanya di bidang ini.
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Silakan gunakan hanya huruf (a-z), angka (0-9) atau underscore (_) di bidang ini, karakter pertama harus huruf."
Please use only visible characters and spaces.,Silakan Gunakan hanya karakter yang terlihat dan ruang.
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.",Silakan gunakan format tanggal: hh / bb / tttt. Misalnya 17/03/2006 untuk 17 Maret 2006.
"Please wait, loading...","Silakan tunggu, memuat.."
Polls,Polling
Port (25),Port (25)
Profiler,Profiler
Request Path for Specified Store,Permintaan Jalur untuk Toko Ditentukan
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Berkas yang diminta mungkin tidak memasukkan orangtua traversal direktori (""../"", "".. \ \ notasi)"""
"Requested invalid store ""%s""","Toko yang diminta tidak berlaku ""%s"""
Resource is not set,Sumber daya tidak diatur
Root Category,Kategori sumber
SMTP settings (Windows server only),Pengaturan SMTP (Windows server saja)
Sales representative,Staf penjualan
Save,Simpan
Save Store,Simpan Toko
Save Store View,Simpan tampilan toko
Save Website,Simpan situs
Search Engines Optimization,Optimalisasi Mesin Pencari
Secure,Aman
Security,Keamanan
Select Date,Pilih tanggal
Select Media Database,Pilih database media
Sender Email,Email Pengirim
Sender Name,Nama Pengirim
Services,Layanan
Session Cookie management,Sesi pengaturan cookie
"Session Lifetime, Seconds","Sesi Seumur Hidup, Detik-detik"
Session Validation Settings,Sesi Pengaturan validasi
Set as default,Atur sebagai standar
Skin (Images / CSS),Lapisan (Gambar / CSS)
Sort order,Jenis pesanan
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Ditentukan tanggal / waktu ""% 1 $ s"" tidak cocok format ""% 2 $ s""."
"Specify either category or product, or both.","Tentukan kategori baik atau produk, atau keduanya."
Start date can't be greater than end date,Tanggal awal tidak dapat lebih besar dari tanggal akhir
Startup page,halaman startup
Status,Status
Storage Configuration for Media,Konfigurasi penyimpanan untk media
Store,Toko
Store Email Addresses,Alamat Email Toko
Store Information,Informasi Toko
Store Name,Nama Toko
Store View,Tampilan toko
Store View Information,Tampilan informasi toko
Store View Name,Tampilan nama toko
Store View was successfully saved,Tampilan toko berhasil di simpan
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Kode toko harus mengandung hanya huruf (a-z), angka (0-9) atau garis bawah (_), karakter pertama harus huruf a"
Store doesn't exist,Toko tidak ada
Store view doesn't exist,Tampilan toko tidak ada
Store view was successfully deleted.,Tampilan toko telah di hapus
Store was successfully deleted.,Toko telah berhasil di hapus
Store was successfully saved,Toko telah berhasil di simpan
Store with the same code,Toko dengan kode yang sama
System,Sistem
System Log File Name,Sistem log nama berkas
Template Path Hints,Petunjuk jalur kerangka
Template Settings,pengaturan kerangka
Template Variables,Variabel kerangka
Templates,kerangka
Text length does not satisfy specified text range.,Panjang teks tidak memuaskan tentukan jangkauan teks
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","% S yang Anda masukan tidak valid. Silakan pastikan bahwa itu mengikuti Format ""http://domain.com/""."
The model collection resource name is not defined.,Koleksi nama model sumber daya tidak ditentukan.
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Kode toko mungkin berisi hanya huruf (a-z), angka (0-9) atau garis bawah (_), karakter pertama harus huruf a
"
The store does not exist,Toko tidak ada
The store has been deleted.,Toko telah di hapus
The store has been saved.,Toko telah di simpan
The store view has been deleted.,Tampilan toko telah di hapus
The store view has been saved,Tampilan toko telah di simpan
The template Name must not be empty.,Nama kerangka tidak boleh kosong
The value is not within the specified range.,Nilai tidak dalam kisaran tertentu.
The website does not exist.,Situs tidak ada
The website has been deleted.,Situs telah di hapus
The website has been saved.,Situs telah di simpan
Themes,Tema
This category and all its child elements,Kategori ini dan semua elemen turunan nya
This category and its child categories only,Kategori ini dan hanya elemen turunan nya
This category and its products only,Kategori ini dan hanya produk saja
This category only,Hanya kategori ini
This is a required field.,Bidang ini dibutuhkan.
This store cannot be deleted,Toko ini tidak dapat di hapus
This store cannot be deleted.,Toko ini tidak bisa di hapus
This store view cannot be deleted,Tampilan toko ini tidak bisa di hapus
This store view cannot be deleted.,Tampilan toko ini tidak bisa di hapus
This website cannot be deleted,Situs ini tidak bisa di hapus
This website cannot be deleted.,Situs ini tidak bisa di hapus
This will be displayed just before body closing tag,Ini akan ditampilkan tepat sebelum tag  body closing
This will be included before head closing tag in page HTML,Ini akan dimasukkan sebelum tag penutup kepala di halaman HTML
Timezone,Zona waktu
Title Prefix,Awalan judul
Title Suffix,Akhiran Judul
Translate Inline,Terjemahkan Sejajar
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Menerjemahkan, blok dan cache output lainnya harus dinonaktifkan untuk kedua ujung depan dan terjemahan sejajar admin."
Translations,Terjemahan
Two and more slashes together are not permitted in request path,Dua garis miring dan lebih bersama tidak diperbolehkan di jalur permintaan
Two and more slashes together are not permitted in url rewrite suffix,Dua garis miring dan lebih bersama tidak diperbolehkan di akhiran url menulis ulang
Unable to create directory: %s,Tidak dapat membuat direktori:% s
"Unable to delete store view. Please, try again later.",Tidak dapat menghapus tampilan toko. Harap coba lagi nanti.
"Unable to delete store. Please, try again later.",Tidak dapat menghapus toko. Harap coba lagi nanti.
"Unable to delete website. Please, try again later.","Tidak dapat menghapus situs. Silakan, cobalagi nanti."
"Unable to proceed. Please, try again","Tidak dapat memproses. Silakan, cobalagi"
"Unable to proceed. Please, try again.","Tidak dapat memproses. Silakan, cobalagi"
"Unable to save file ""%s"" at ""%s""","Tidak dapat menyimpan berkas ""%s""pada""%s"""
Unable to save file: %s,"Tidak dapat menyimpan berkas ""%s"""
"Unknown scope ""%s"".","Lingkup tidak di ketahui""%s""."
Unsecure,Tidak aman
Url Options,Pilihan url
Use HTTP Only,Gunakan Hanya HTTP
Use Secure URLs in Admin,Gunakan  URLs aman pada Admin
Use Secure URLs in Frontend,Gunakan URLs aman pada ujung depan
Use Web Server Rewrites,Gunakan Web Server Penulisan ulang
Use custom admin URL,Gunakan Adin URL khusus
Validate HTTP_USER_AGENT,Validasi HTTP_PENGGUNA_AGEN
Validate HTTP_VIA,Validasi HTTP_VIA
Validate HTTP_X_FORWARDED_FOR,Validasi HTTP_X_FORWARDED_FOR
Validate REMOTE_ADDR,Validasi REMOTE_ADDR
Validation has failed.,Validasi gagal
Values less than 60 are ignored. Note that changes will apply after logout.,Nilai yang kurang dari 60 diabaikan. Perhatikan bahwa perubahan akan berlaku setelah keluar.
Variable Code must be unique.,Kode variabel harus unik
Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.,Peringatan! Mengaktifkan fitur ini tidak dianjurkan pada lingkungan produksi karena itu merupakan risiko keamanan potensial.
Web,Web
Website,Situs
Website Information,Informasi situs
Website Name,Nama Situs
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Kode situs harus mengandung hanya huruf (a-z), angka (0-9) atau garis bawah (_), karakter pertama harus huruf a"
Website doesn't exist,Situs tidak ada
Website was successfully deleted.,Situs telah berhasil di hapus
Website was successfully saved,Situs telah berhasil di simpan
Website with the same code,Situs dengan kode yang sama
Weekend Days,Hari akhir pekan
Welcome Text,Teks selamat datang
Wrong file info format,Format info berkas salah
Wrong number of arguments for %s,Jumlah salah dari argumen untuk %s
Yes,Ya
Your order can not be completed at this time as there is no payment methods available for it.,Pesanan Anda tidak dapat diselesaikan pada saat ini karena tidak ada metode pembayaran yang tersedia untuk itu.
Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.,Pesanan Anda tidak dapat diselesaikan pada saat ini karena ada metode pengiriman tidak tersedia untuk itu. Silakan membuat perubahan yang diperlukan dalam alamat pengiriman Anda.
"Your session has been expired, you will be relogged in now.","Sesi Anda telah berakhir, anda akan relogged sekarang."
"database ""%s""","database ""%s"""
